zip_code,zone,city,state,latitude,longitude
02461,6b,"NEWTON HIGHLANDS",MA,42.31,-71.2
02462,6b,"NEWTON LOWER FALLS",MA,42.33,-71.25
02464,6b,"NEWTON UPPER FALLS",MA,42.31,-71.22
02465,6b,"WEST NEWTON",MA,42.35,-71.22
02466,6b,AUBURNDALE,MA,42.34,-71.24
00961,12b,BAYAMON,PR,18.41,-66.15
00962,13b,CATANO,PR,18.43,-66.11
00976,13a,"TRUJILLO ALTO",PR,18.36,-66.01
00754,12b,"SAN LORENZO",PR,18.19,-65.96
00685,12b,"SAN SEBASTIAN",PR,18.33,-66.99
00757,13a,"SANTA ISABEL",PR,17.97,-66.4
00953,13a,"TOA ALTA",PR,18.39,-66.25
00949,13a,"TOA BAJA",PR,18.44,-66.25
00641,12a,UTUADO,PR,18.27,-66.7
00692,13a,"VEGA ALTA",PR,18.41,-66.32
00693,13a,"VEGA BAJA",PR,18.44,-66.39
00765,13a,VIEQUES,PR,18.42,-65.83
00766,12b,VILLALBA,PR,18.13,-66.48
00767,13a,YABUCOA,PR,18.04,-65.87
00698,12b,YAUCO,PR,18.03,-66.86
02467,6b,"CHESTNUT HILL",MA,42.31,-71.16
02468,6b,WABAN,MA,42.32,-71.23
02451,6a,WALTHAM,MA,42.38,-71.24
02452,6b,WALTHAM,MA,42.38,-71.24
02453,6b,WALTHAM,MA,42.38,-71.24
02472,6b,WATERTOWN,MA,42.36,-71.17
02481,6b,"WELLESLEY HILLS",MA,42.31,-71.27
02482,6a,WELLESLEY,MA,42.3,-71.28
02493,6a,WESTON,MA,42.36,-71.26
02184,6b,BRAINTREE,MA,42.2,-71
02186,6b,MILTON,MA,42.24,-71.08
02169,6b,QUINCY,MA,42.26,-71
02170,6b,QUINCY,MA,42.26,-71
02171,6b,QUINCY,MA,42.26,-71
02188,6b,WEYMOUTH,MA,42.2,-70.94
02189,6b,"EAST WEYMOUTH",MA,42.2,-70.94
02190,6b,"SOUTH WEYMOUTH",MA,42.2,-70.94
02191,6b,"NORTH WEYMOUTH",MA,42.2,-70.94
01718,6a,"VILLAGE OF NAGOG WOODS",MA,42.51,-71.41
01719,6a,BOXBOROUGH,MA,42.5,-71.5
01720,6a,ACTON,MA,42.48,-71.46
02474,6b,ARLINGTON,MA,42.41,-71.16
02476,6b,ARLINGTON,MA,42.41,-71.16
02150,6b,CHELSEA,MA,42.39,-71.03
02149,6b,EVERETT,MA,42.4,-71.05
02152,7a,WINTHROP,MA,42.37,-70.98
02151,6b,REVERE,MA,42.41,-70.99
02148,6b,MALDEN,MA,42.43,-71.05
02176,6b,MELROSE,MA,42.45,-71.05
02155,6b,MEDFORD,MA,42.42,-71.1
02143,6b,SOMERVILLE,MA,42.39,-71.1
02144,6b,SOMERVILLE,MA,42.39,-71.1
02145,6b,SOMERVILLE,MA,42.39,-71.1
02180,6b,STONEHAM,MA,42.47,-71.09
01913,6a,AMESBURY,MA,42.85,-70.92
01810,6a,ANDOVER,MA,42.65,-71.14
02054,6a,MILLIS,MA,42.16,-71.35
01529,6a,MILLVILLE,MA,42.03,-71.58
02554,7b,NANTUCKET,MA,41.27,-70.1
01760,6a,NATICK,MA,42.28,-71.35
01531,5b,"NEW BRAINTREE",MA,42.31,-72.13
01950,6b,NEWBURYPORT,MA,42.81,-70.88
01951,6b,NEWBURY,MA,42.8,-71
01952,6a,SALISBURY,MA,42.83,-70.84
02056,6a,NORFOLK,MA,42.11,-71.31
02351,6b,ABINGTON,MA,42.11,-70.95
01862,6a,"NORTH BILLERICA",MA,42.57,-71.29
01532,6a,NORTHBOROUGH,MA,42.31,-71.64
01534,6a,NORTHBRIDGE,MA,42.15,-71.65
01535,6a,"NORTH BROOKFIELD",MA,42.27,-72.08
02650,7b,"NORTH CHATHAM",MA,41.7,-69.95
01863,6a,"NORTH CHELMSFORD",MA,42.63,-71.39
02356,6b,"NORTH EASTON",MA,42.05,-71.1
02556,7a,"NORTH FALMOUTH",MA,41.64,-70.63
01536,6a,"NORTH GRAFTON",MA,42.23,-71.69
01537,5b,"NORTH OXFORD",MA,42.16,-71.88
01864,6a,"NORTH READING",MA,42.56,-71.06
01430,5b,ASHBURNHAM,MA,42.63,-71.9
01431,5b,ASHBY,MA,42.68,-71.81
01721,6a,ASHLAND,MA,42.25,-71.46
01501,5b,AUBURN,MA,42.2,-71.83
02322,6b,AVON,MA,42.11,-71.03
01432,5b,AYER,MA,42.56,-71.58
01434,5b,DEVENS,MA,42.53,-71.61
01436,5a,BALDWINVILLE,MA,42.6,-72.07
02630,7a,BARNSTABLE,MA,41.7,-70.3
01730,6a,BEDFORD,MA,42.48,-71.26
01731,6a,"HANSCOM AFB",MA,42.46,-71.28
02019,6a,BELLINGHAM,MA,42.09,-71.47
01503,6a,BERLIN,MA,42.38,-71.63
01915,6b,BEVERLY,MA,42.55,-70.84
01821,6a,BILLERICA,MA,42.55,-71.26
01504,6a,BLACKSTONE,MA,42.01,-71.5
01740,6a,BOLTON,MA,42.43,-71.6
02108,6b,BOSTON,MA,42.35,-71.06
02109,6b,BOSTON,MA,42.35,-71.06
02110,7a,BOSTON,MA,42.35,-71.06
02111,6b,BOSTON,MA,42.35,-71.06
02113,6b,BOSTON,MA,42.35,-71.06
02114,6b,BOSTON,MA,42.35,-71.06
02115,6b,BOSTON,MA,42.35,-71.06
02116,6b,BOSTON,MA,42.35,-71.06
02118,6b,BOSTON,MA,42.35,-71.06
02119,6b,ROXBURY,MA,42.35,-71.06
02120,6b,"ROXBURY CROSSING",MA,42.35,-71.06
02121,6b,DORCHESTER,MA,42.35,-71.06
02122,6b,DORCHESTER,MA,42.35,-71.06
02124,6b,"DORCHESTER CENTER",MA,42.35,-71.06
02125,6b,DORCHESTER,MA,42.35,-71.06
02126,6b,MATTAPAN,MA,42.26,-71.1
02127,7a,BOSTON,MA,42.35,-71.06
02128,7a,BOSTON,MA,42.35,-71.06
